#,Word,Oxford 3000,Oxford 5000,Level,Part Of Speech,Site URL
1,a,1,1,a1,indefinite article,https://www.oxfordlearnersdictionaries.com/definition/english/a_1
2,abandon,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1
3,ability,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1
4,able,1,1,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/able_1
5,abolish,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abolish
6,abortion,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abortion
7,about,1,1,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/about_2
8,about,1,1,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/about_1
9,above,1,1,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/above_2
10,above,1,1,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/above_1
11,abroad,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/abroad
12,absence,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/absence
13,absent,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1
14,absolute,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1
15,absolutely,1,1,b1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely
16,absorb,0,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/absorb
17,abstract,0,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1
18,absurd,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absurd
19,abundance,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abundance
20,abuse,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1
21,abuse,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2
22,academic,1,1,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1
23,academic,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2
24,academy,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/academy
25,accelerate,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate
26,accent,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1
27,accept,1,1,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accept
28,acceptable,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable
29,acceptance,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance
30,access,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/access_1
31,access,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/access_2
32,accessible,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accessible
33,accident,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accident
34,accidentally,0,1,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally
35,accommodate,0,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate
36,accommodation,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation
37,accompany,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accompany
38,accomplish,0,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish
39,accomplishment,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment
40,accordance,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accordance
41,according to,1,1,a2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/according-to
42,accordingly,0,1,c1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accordingly
43,account,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/account_1
44,account,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/account_2
45,accountability,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountability
46,accountable,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accountable
47,accountant,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountant
